image_name,best_w_g,best_h_g,best_w_r,best_h_r
flowers.jpg,-1,5,-3,10
church.jpg,0,3,0,12
path.jpg,-3,3,1,10
lake.jpg,3,1,5,10
canal.jpg,3,3,5,4

